unique_funder,matched_funder,matched_funder_code,matched_object
National Science Foundation,"National Science Foundation (United States, Alexandria) - NSF",41___NATIONAL_SCIENCE_FOUNDATION_(ALEXANDRIA),child/Exact
National Institutes of Health,"National Institutes of Health (United States, Bethesda) - NIH",41___NATIONAL_INSTITUTES_OF_HEALTH_(BETHESDA),child/Exact
Ministerio de Economía y Competitividad,"Ministry of Economy, Industry and Competitiveness (Spain, Madrid) - MINECO","41___MINISTRY_OF_ECONOMY,_INDUSTRY_AND_COMPETITIVENESS_(MADRID)",child/Exact
National Institute of General Medical Sciences,"National Institute of General Medical Sciences (United States, Bethesda) - NIGMS",41___NATIONAL_INSTITUTE_OF_GENERAL_MEDICAL_SCIENCES_(BETHESDA),child/Exact
National Natural Science Foundation of China,"National Natural Science Foundation of China (China, Beijing) - NSFC",41___NATIONAL_NATURAL_SCIENCE_FOUNDATION_OF_CHINA_(BEIJING),child/Exact
U.S. Department of Energy,"United States Department of Energy (United States, Washington) - DOE",41___UNITED_STATES_DEPARTMENT_OF_ENERGY_(WASHINGTON_D.C.),child/Exact
Division of Materials Research,"Division of Materials Research (United States, Arlington) - NSF DMR",41___DIVISION_OF_MATERIALS_RESEARCH_(ARLINGTON),child/Exact
H2020 European Research Council,"European Research Council (Belgium, Brussels) - ERC",41___EUROPEAN_RESEARCH_COUNCIL_(BRUSSELS),child/Exact
Narodowe Centrum Nauki,"National Science Center (Poland, Krakow) - NCN",41___NATIONAL_SCIENCE_CENTER_(KRAKOW),child/Exact
National Institute on Drug Abuse,"National Institute on Drug Abuse (United States, Bethesda) - NIDA",41___NATIONAL_INSTITUTE_ON_DRUG_ABUSE_(BETHESDA),child/Exact
National Institute on Aging,"National Institute on Aging (United States, Baltimore) - NIA",41___NATIONAL_INSTITUTE_ON_AGING_(BALTIMORE),child/Exact
Ministerio de Ciencia e Innovación,"Ministry of Economy, Industry and Competitiveness (Spain, Madrid) - MINECO","41___MINISTRY_OF_ECONOMY,_INDUSTRY_AND_COMPETITIVENESS_(MADRID)",child/Exact
Japan Society for the Promotion of Science,"Japan Society for the Promotion of Science (Japan, Tokyo) - JSPS",41___JAPAN_SOCIETY_FOR_THE_PROMOTION_OF_SCIENCE_(TOKYO),child/Exact
European Research Council,"European Research Council (Belgium, Brussels) - ERC",41___EUROPEAN_RESEARCH_COUNCIL_(BRUSSELS),child/Exact
National Institute of Neurological Disorders and Stroke,"National Institute of Neurological Disorders and Stroke (United States, Bethesda) - NINDS",41___NATIONAL_INSTITUTE_OF_NEUROLOGICAL_DISORDERS_AND_STROKE_(BETHESDA),child/Exact
Agence Nationale de la Recherche,"Agence Nationale de la Recherche (France, Paris) - ANR ",41___AGENCE_NATIONALE_DE_LA_RECHERCHE_(PARIS),child/Exact
National Institute of Mental Health,"National Institute of Mental Health (United States, Bethesda) - NIMH",41___NATIONAL_INSTITUTE_OF_MENTAL_HEALTH_(BETHESDA),child/Exact
Vetenskapsrådet,"Swedish Research Council (Sweden, Stockholm) - VR",41___SWEDISH_RESEARCH_COUNCIL_(STOCKHOLM),child/Exact
Deutsche Forschungsgemeinschaft,"Deutsche Forschungsgemeinschaft (Germany, Bonn) - DFG",41___DEUTSCHE_FORSCHUNGSGEMEINSCHAFT_(BONN),child/Exact
Knut och Alice Wallenbergs Stiftelse,"Knut and Alice Wallenberg Foundation (Sweden, Stockholm)",41___KNUT_AND_ALICE_WALLENBERG_FOUNDATION_(STOCKHOLM),child/Exact
National Aeronautics and Space Administration,"National Aeronautics and Space Administration (United States, Washington) - NASA",41___NATIONAL_AERONAUTICS_AND_SPACE_ADMINISTRATION_(WASHINGTON_D.C.),child/Exact
National Cancer Institute,"National Cancer Institute (United States, Bethesda) - NCI",41___NATIONAL_CANCER_INSTITUTE_(ROCKVILLE),child/Exact
Fondo Nacional de Desarrollo Científico y Tecnológico,"Agencia Nacional de Investigación y Desarrollo (Chile, Santiago) - ANID",41___AGENCIA_NACIONAL_DE_INVESTIGACIÓN_Y_DESARROLLO_(SANTIAGO),child/Exact
Air Force Office of Scientific Research,"United States Air Force Office of Scientific Research (United States, Arlington) - AFOSR",41___UNITED_STATES_AIR_FORCE_OFFICE_OF_SCIENTIFIC_RESEARCH_(ARLINGTON),child/Exact
National Institute of Allergy and Infectious Diseases,"National Institute of Allergy and Infectious Diseases (United States, Bethesda) - NIAID",41___NATIONAL_INSTITUTE_OF_ALLERGY_AND_INFECTIOUS_DISEASES_(BETHESDA),child/Exact
Generalitat Valenciana,"Generalitat Valenciana (Spain, Valencia)",41___GENERALITAT_VALENCIANA_(VALENCIA),child/Exact
Simons Foundation,"Simons Foundation (United States, New York)",41___SIMONS_FOUNDATION_(NEW_YORK),child/Exact
Division of Chemistry,"Division of Chemistry (United States, Arlington) - NSF CHE",41___DIVISION_OF_CHEMISTRY_(ARLINGTON),child/Exact
Science and Technology Facilities Council,"Science and Technology Facilities Council (United Kingdom, Swindon) - STFC",41___SCIENCE_AND_TECHNOLOGY_FACILITIES_COUNCIL_(SWINDON),child/Exact
Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,"Swiss National Science Foundation (Switzerland, Bern) - SNSF",41___SWISS_NATIONAL_SCIENCE_FOUNDATION_(BERN),child/Exact
National Science Foundation of Sri Lanka,"National Science Foundation of Sri Lanka (Sri Lanka, Colombo) - NSF",41___NATIONAL_SCIENCE_FOUNDATION_OF_SRI_LANKA_(COLOMBO),child/Exact
"National Institute on Disability, Independent Living, and Rehabilitation Research","National Institute on Disability, Independent Living, and Rehabilitation Research (United States, Washington) - NIDILRR","41___NATIONAL_INSTITUTE_ON_DISABILITY,_INDEPENDENT_LIVING,_AND_REHABILITATION_RESEARCH_(WASHINGTON_D.C.)",child/Exact
Conselho Nacional de Desenvolvimento Científico e Tecnológico,"National Council for Scientific and Technological Development (Brazil, Brasília) - CNPq",41___NATIONAL_COUNCIL_FOR_SCIENTIFIC_AND_TECHNOLOGICAL_DEVELOPMENT_(BRASÍLIA),child/Exact
Eunice Kennedy Shriver National Institute of Child Health and Human Development,"Eunice Kennedy Shriver National Institute of Child Health and Human Development (United States, Bethesda) - NICHD",41___NATIONAL_INSTITUTE_OF_CHILD_HEALTH_AND_HUMAN_DEVELOPMENT_(BETHESDA),child/Exact
Brandeis University,"Brandeis University (United States, Waltham)",41___BRANDEIS_UNIVERSITY_(WALTHAM),child/Exact
Seventh Framework Programme,"European Commission (Belgium, Brussels) - EC",41___EUROPEAN_COMMISSION_(BRUSSELS),child/EdgeCase
Narodowa Agencja Wymiany Akademickiej,"Narodowa Agencja Wymiany Akademickiej (Poland, Warsaw) - NAWA",41___NARODOWA_AGENCJA_WYMIANY_AKADEMICKIEJ_(WARSAW),child/Exact
Horizon 2020 Framework Programme,"European Commission (Belgium, Brussels) - EC",41___EUROPEAN_COMMISSION_(BRUSSELS),child/Exact
Centers for Disease Control and Prevention,"Centers for Disease Control and Prevention (United States, Atlanta) - CDC",41___CENTERS_FOR_DISEASE_CONTROL_AND_PREVENTION_(ATLANTA),child/Exact
Leverhulme Trust,"Leverhulme Trust (United Kingdom, London)",41___LEVERHULME_TRUST_(LONDON),child/Exact
Nederlandse Organisatie voor Wetenschappelijk Onderzoek,"Dutch Research Council (Netherlands, The Hague) - NWO",41___DUTCH_RESEARCH_COUNCIL_(THE_HAGUE),child/Exact
Bill and Melinda Gates Foundation,"Bill & Melinda Gates Foundation (United States, Seattle) - BMGF ",41___BILL_&_MELINDA_GATES_FOUNDATION_(SEATTLE),child/Exact
Howard Hughes Medical Institute,"Howard Hughes Medical Institute (United States, Chevy Chase) - HHMI",41___HOWARD_HUGHES_MEDICAL_INSTITUTE_(CHEVY_CHASE),child/Exact
Norges Forskningsråd,"The Research Council of Norway (Norway, Oslo)",41___THE_RESEARCH_COUNCIL_OF_NORWAY_(OSLO),child/Exact
Army Research Office,"United States Army Research Office (United States, Durham) - US ARO",41___UNITED_STATES_ARMY_RESEARCH_OFFICE_(DURHAM),child/Exact
National Institute on Alcohol Abuse and Alcoholism,"National Institute on Alcohol Abuse and Alcoholism (United States, Bethesda) - NIAAA",41___NATIONAL_INSTITUTE_ON_ALCOHOL_ABUSE_AND_ALCOHOLISM_(BETHESDA),child/Exact
Javna Agencija za Raziskovalno Dejavnost RS,"Slovenian Research Agency (Slovenia, Ljubljana) - ARRS",41___SLOVENIAN_RESEARCH_AGENCY_(LJUBLJANA),child/Exact
Directorate for Mathematical and Physical Sciences,"Directorate for Mathematical & Physical Sciences (United States, Arlington) - NSF MPS",41___DIRECTORATE_FOR_MATHEMATICAL_&_PHYSICAL_SCIENCES_(ARLINGTON),child/Exact
Engineering and Physical Sciences Research Council,"Engineering and Physical Sciences Research Council (United Kingdom, Swindon) - EPSRC",41___ENGINEERING_AND_PHYSICAL_SCIENCES_RESEARCH_COUNCIL_(SWINDON),child/Exact
National Institute on Deafness and Other Communication Disorders,"National Institute on Deafness and Other Communication Disorders (United States, Bethesda) - NIDCD",41___NATIONAL_INSTITUTE_ON_DEAFNESS_AND_OTHER_COMMUNICATION_DISORDERS_(BETHESDA),child/Exact
National Center for Complementary and Integrative Health,"National Center for Complementary and Integrative Health (United States, Bethesda) - NCCIH",41___NATIONAL_CENTER_FOR_COMPLEMENTARY_AND_INTEGRATIVE_HEALTH_(BETHESDA),child/Exact
Foundation for the National Institutes of Health,"Foundation for the National Institutes of Health (United States, Bethesda) - FNIH",41___FOUNDATION_FOR_THE_NATIONAL_INSTITUTES_OF_HEALTH_(BETHESDA),child/Exact
Australian Research Council,"Australian Research Council (Australia, Canberra) - ARC",41___AUSTRALIAN_RESEARCH_COUNCIL_(CANBERRA),child/Exact
National Institute of Child Health and Human Development,"Eunice Kennedy Shriver National Institute of Child Health and Human Development (United States, Bethesda) - NICHD",41___NATIONAL_INSTITUTE_OF_CHILD_HEALTH_AND_HUMAN_DEVELOPMENT_(BETHESDA),child/Exact
Basic Energy Sciences,"Basic Energy Sciences (United States, Washington D.C.) - BES",41___BASIC_ENERGY_SCIENCES_(WASHINGTON_D.C.),child/Exact
Alfred P. Sloan Foundation,"Alfred P. Sloan Foundation (United States, New York)",41___ALFRED_P._SLOAN_FOUNDATION_(NEW_YORK),child/Exact
Division of Mathematical Sciences,"Division of Mathematical Sciences (United States, Arlington) - NSF DMS",41___DIVISION_OF_MATHEMATICAL_SCIENCES_(ARLINGTON),child/Exact
National Research Foundation of Korea,"National Research Foundation of Korea (South Korea, Daejeon) - NRF",41___NATIONAL_RESEARCH_FOUNDATION_OF_KOREA_(DAEJEON),child/Exact
Horizon 2020,"European Commission (Belgium, Brussels) - EC",41___EUROPEAN_COMMISSION_(BRUSSELS),child/EdgeCase
"Division of Chemical, Bioengineering, Environmental, and Transport Systems","Division of Chemical, Bioengineering, Environmental, and Transport Systems (United States, Arlington) - NSF CBET","41___DIVISION_OF_CHEMICAL,_BIOENGINEERING,_ENVIRONMENTAL,_AND_TRANSPORT_SYSTEMS_(ARLINGTON)",child/Exact
Federación Española de Enfermedades Raras,"Federación Española de Enfermedades Raras (Spain, Seville) - FEDER",41___FEDERACIÓN_ESPAÑOLA_DE_ENFERMEDADES_RARAS_(SEVILLE),child/Exact
Royal Society,"Royal Society (United Kingdom, London)",41___ROYAL_SOCIETY_(LONDON),child/Exact
National Eye Institute,"National Eye Institute (United States, Bethesda) - NEI",41___NATIONAL_EYE_INSTITUTE_(BETHESDA),child/Exact
"Ministero dell’Istruzione, dell’Università e della Ricerca","Ministry of Education, Universities and Research (Italy, Rome) - MIUR","41___MINISTRY_OF_EDUCATION,_UNIVERSITIES_AND_RESEARCH_(ROME)",child/Exact
Office of Naval Research,"Office of Naval Research (United States, Arlington) - ONR",41___OFFICE_OF_NAVAL_RESEARCH_(ARLINGTON),child/Exact
Natural Science Foundation of Jiangsu Province,"National Natural Science Foundation of China (China, Beijing) - NSFC",41___NATIONAL_NATURAL_SCIENCE_FOUNDATION_OF_CHINA_(BEIJING),child/Exact
Ministry of Science and Technology of the People's Republic of China,"Ministry of Science and Technology of the People's Republic of China (China, Beijing) - MOST",41___MINISTRY_OF_SCIENCE_AND_TECHNOLOGY_OF_THE_PEOPLE'S_REPUBLIC_OF_CHINA_(BEIJING),child/Exact
“la Caixa” Foundation,"CaixaBank (Spain, Barcelona)",41___CAIXABANK_(BARCELONA),child/Exact
Fundação de Amparo à Pesquisa do Estado de São Paulo,"Fundação de Amparo à Pesquisa do Estado de São Paulo (Brazil, São Paulo) - FAPESP",41___SÃO_PAULO_RESEARCH_FOUNDATION_(SÃO_PAULO),child/Exact
Israel Science Foundation,"Israel Science Foundation (Israel, Jerusalem) - ISF",41___ISRAEL_SCIENCE_FOUNDATION_(JERUSALEM),child/Exact
Fundación BBVA,"Fundación BBVA (Spain, Madrid)",41___FUNDACIÓN_BBVA_(MADRID),child/Exact
Patient-Centered Outcomes Research Institute,"Patient-Centered Outcomes Research Institute (United States, Washington D.C.) - PCORI",41___PATIENT-CENTERED_OUTCOMES_RESEARCH_INSTITUTE_(WASHINGTON_D.C.),child/Exact
National Key Research and Development Program of China,"Ministry of Science and Technology of the People's Republic of China (China, Beijing) - MOST",41___MINISTRY_OF_SCIENCE_AND_TECHNOLOGY_OF_THE_PEOPLE'S_REPUBLIC_OF_CHINA_(BEIJING),child/EdgeCase
Agency for Healthcare Research and Quality,"Agency for Healthcare Research and Quality (United States, Rockville) - AHRQ",41___AGENCY_FOR_HEALTHCARE_RESEARCH_AND_QUALITY_(ROCKVILLE),child/Exact
American Chemical Society Petroleum Research Fund,"American Chemical Society (United States, Washington D.C.) - ACS",41___AMERICAN_CHEMICAL_SOCIETY_(WASHINGTON_D.C.),child/Exact
"National Heart, Lung, and Blood Institute","National Heart Lung and Blood Institute (United States, Bethesda) - NHLBI",41___NATIONAL_HEART_LUNG_AND_BLOOD_INSTITUTE_(BETHESDA),child/Exact
Social Sciences and Humanities Research Council of Canada,"Social Sciences and Humanities Research Council (Canada, Ottawa) - SSHRC",41___SOCIAL_SCIENCES_AND_HUMANITIES_RESEARCH_COUNCIL_(OTTAWA),child/Exact
Human Frontier Science Program,"International Human Frontier Science Program Organization (France, Strasbourg) - HFSP",41___INTERNATIONAL_HUMAN_FRONTIER_SCIENCE_PROGRAM_ORGANIZATION_(STRASBOURG),child/Exact
National Center for Advancing Translational Sciences,"National Center for Advancing Translational Sciences (United States, Rockville) - NCATS",41___NATIONAL_CENTER_FOR_ADVANCING_TRANSLATIONAL_SCIENCES_(ROCKVILLE),child/Exact
W.K. Kellogg Foundation,"W.K. Kellogg Foundation (United States, Battle Creek) - WKKF",41___W.K._KELLOGG_FOUNDATION_(BATTLE_CREEK),child/Exact
Bundesministerium für Bildung und Forschung,"Federal Ministry of Education and Research (Germany, Bonn) - BMBF",41___FEDERAL_MINISTRY_OF_EDUCATION_AND_RESEARCH_(BONN),child/Exact
European Commission,"European Commission (Belgium, Brussels) - EC",41___EUROPEAN_COMMISSION_(BRUSSELS),child/Exact
Welch Foundation,"Welch Foundation (United States, Houston)",41___WELCH_FOUNDATION_(HOUSTON),child/Exact
Grantová Agentura České Republiky,"Czech Science Foundation (Czechia, Prague) - GAČR",41___CZECH_SCIENCE_FOUNDATION_(PRAGUE),child/Exact
Office of Science,"Office of Science (United States, Washington)",41___OFFICE_OF_SCIENCE_(WASHINGTON_D.C.),child/Exact
Natural Sciences and Engineering Research Council of Canada,"Natural Sciences and Engineering Research Council (Canada, Ottawa) - NSERC",41___NATURAL_SCIENCES_AND_ENGINEERING_RESEARCH_COUNCIL_(OTTAWA),child/Exact
Alzheimer's Association,"Alzheimer's Association (United States, Chicago)",41___ALZHEIMER'S_ASSOCIATION_(CHICAGO),child/Exact
Agencia Nacional de Investigación y Desarrollo,"Agencia Nacional de Investigación y Desarrollo (Chile, Santiago) - ANID",41___AGENCIA_NACIONAL_DE_INVESTIGACIÓN_Y_DESARROLLO_(SANTIAGO),child/Exact
National Institute of Justice,"National Institute of Justice (United States, Washington) - NIJ",41___NATIONAL_INSTITUTE_OF_JUSTICE_(WASHINGTON_D.C.),child/Exact
Univerzita Karlova v Praze,"Charles University (Czechia, Prague)",41___CHARLES_UNIVERSITY_(PRAGUE),child/Exact
Robert Wood Johnson Foundation,"Robert Wood Johnson Foundation (United States, Princeton) - RWJF",41___ROBERT_WOOD_JOHNSON_FOUNDATION_(PRINCETON),child/Exact
NIH Office of the Director,"Office of the Director (United States, Arlington) - NSF OD",41___OFFICE_OF_THE_DIRECTOR_(ARLINGTON),child/Exact
National Center for Research Resources,"National Center for Advancing Translational Sciences (United States, Rockville) - NCATS",41___NATIONAL_CENTER_FOR_ADVANCING_TRANSLATIONAL_SCIENCES_(ROCKVILLE),child/Exact
Camille and Henry Dreyfus Foundation,"Camille and Henry Dreyfus Foundation (United States, New York)",41___CAMILLE_AND_HENRY_DREYFUS_FOUNDATION_(NEW_YORK),child/Exact
National Institute on Minority Health and Health Disparities,"National Institute on Minority Health and Health Disparities (United States, Bethesda) - NIMHD",41___NATIONAL_INSTITUTE_ON_MINORITY_HEALTH_AND_HEALTH_DISPARITIES_(BETHESDA),child/Exact
Wellcome Trust,"Wellcome Trust (United Kingdom, London) - WT",41___WELLCOME_TRUST_(LONDON),child/Exact
National Institute of Biomedical Imaging and Bioengineering,"National Institute of Biomedical Imaging and Bioengineering (United States, Bethesda) - NIBIB",41___NATIONAL_INSTITUTE_OF_BIOMEDICAL_IMAGING_AND_BIOENGINEERING_(BETHESDA),child/Exact
U.S. Department of Health and Human Services,"Department of Health and Human Services (United States, Long Beach) - LBDHHS",41___DEPARTMENT_OF_HEALTH_AND_HUMAN_SERVICES_(LONG_BEACH),child/Exact
American Heart Association,"American Bar Association (United States, Chicago) - ABA",41___AMERICAN_BAR_ASSOCIATION_(CHICAGO),child/Exact
Division of Graduate Education,"Division of Graduate Education (United States, Arlington) - NSF DGE",41___DIVISION_OF_GRADUATE_EDUCATION_(ARLINGTON),child/Exact
High Energy Physics,"Office of High Energy Physics (United States, Washington) - HEP",41___OFFICE_OF_HIGH_ENERGY_PHYSICS_(WASHINGTON_D.C.),child/Exact
Science and Engineering Research Board,"Science and Engineering Research Board (India, New Delhi) - SERB",41___SCIENCE_AND_ENGINEERING_RESEARCH_BOARD_(NEW_DELHI),child/Exact
Defense Advanced Research Projects Agency,"Defense Advanced Research Projects Agency (United States, Arlington) - DARPA",41___DEFENSE_ADVANCED_RESEARCH_PROJECTS_AGENCY_(ARLINGTON),child/Exact
John Templeton Foundation,"John Templeton Foundation (United States, West Conshohocken)",41___JOHN_TEMPLETON_FOUNDATION_(WEST_CONSHOHOCKEN),child/Exact
H2020 Marie Skłodowska-Curie Actions,"European Commission (Belgium, Brussels) - EC",41___EUROPEAN_COMMISSION_(BRUSSELS),child/EdgeCase
European Southern Observatory,"European Southern Observatory (Germany, Garching bei München) - ESO",41___EUROPEAN_SOUTHERN_OBSERVATORY_(GARCHING_BEI_MÜNCHEN),child/Exact
National Health and Medical Research Council,"National Health and Medical Research Council (Australia, Canberra) - NHMRC",41___NATIONAL_HEALTH_AND_MEDICAL_RESEARCH_COUNCIL_(CANBERRA),child/Exact
United States-Israel Binational Science Foundation,"United States-Israel Binational Science Foundation (Israel, Jerusalem) - BSF",41___UNITED_STATES-ISRAEL_BINATIONAL_SCIENCE_FOUNDATION_(JERUSALEM),child/Exact
National Center for Injury Prevention and Control,"National Center for Injury Prevention and Control (United States, Atlanta) - NCIPC",41___NATIONAL_CENTER_FOR_INJURY_PREVENTION_AND_CONTROL_(ATLANTA),child/Exact
Wellcome,"Wellcome Trust (United Kingdom, London) - WT",41___WELLCOME_TRUST_(LONDON),child/Exact
Gordon and Betty Moore Foundation,"Gordon and Betty Moore Foundation (United States, Palo Alto)",41___GORDON_AND_BETTY_MOORE_FOUNDATION_(PALO_ALTO),child/Exact
U.S. Department of Veterans Affairs,"United States Department of Veterans Affairs (United States, Washington) - VA ",41___UNITED_STATES_DEPARTMENT_OF_VETERANS_AFFAIRS_(WASHINGTON_D.C.),child/Exact
Russian Science Foundation,"Russian Science Foundation (Russia, Moscow)",41___RUSSIAN_SCIENCE_FOUNDATION_(MOSCOW),child/Exact
Michael J. Fox Foundation for Parkinson's Research,"Michael J. Fox Foundation (United States, New York) - MJFF",41___MICHAEL_J._FOX_FOUNDATION_(NEW_YORK),child/Exact
"Materials Research Science and Engineering Center, Harvard University","Materials Research Science and Engineering Centers (United States, Arlington) - MRSEC",41___MATERIALS_RESEARCH_SCIENCE_AND_ENGINEERING_CENTERS_(ARLINGTON),child/Exact
"Division of Microbiology and Infectious Diseases, National Institute of Allergy and Infectious Diseases","National Institute of Allergy and Infectious Diseases (United States, Bethesda) - NIAID",41___NATIONAL_INSTITUTE_OF_ALLERGY_AND_INFECTIOUS_DISEASES_(BETHESDA),child/HighestScore
Economic and Social Research Council,"Economic and Social Research Council (United Kingdom, Swindon) - ESRC",41___ECONOMIC_AND_SOCIAL_RESEARCH_COUNCIL_(SWINDON),child/Exact
"Ministry of Education, Youth and Science","Ministry of Education and Science (Bulgaria, Sofia)",41___MINISTRY_OF_EDUCATION_AND_SCIENCE_(SOFIA),child/Exact
American Cancer Society,"American Cancer Society (United States, Atlanta) - ACS",41___AMERICAN_CANCER_SOCIETY_(ATLANTA),child/Exact
"Ministry of Science and Technology, Taiwan","National Science and Technology Council (Taiwan, Taipei) - MOST",41___MINISTRY_OF_SCIENCE_AND_TECHNOLOGY_(TAIPEI),child/Exact
World Bank Group,"World Bank Group (United States, Washington D.C.) - WBG",41___WORLD_BANK_GROUP_(WASHINGTON_D.C.),child/Exact
Division of Advanced Cyberinfrastructure,"Division of Advanced Cyberinfrastructure (United States, Arlington) - NSF ACI",41___DIVISION_OF_ADVANCED_CYBERINFRASTRUCTURE_(ARLINGTON),child/Exact
Division of Molecular and Cellular Biosciences,"Division of Molecular & Cellular Biosciences (United States, Arlington) - NSF MCB",41___DIVISION_OF_MOLECULAR_&_CELLULAR_BIOSCIENCES_(ARLINGTON),child/Exact
National Sleep Foundation,"National Sleep Foundation (United States, Washington D.C.) - NSF",41___NATIONAL_SLEEP_FOUNDATION_(WASHINGTON_D.C.),child/Exact
Health Services Research and Development,"Health Services Research & Development (United States, Washington) - HSR&D",41___HEALTH_SERVICES_RESEARCH_&_DEVELOPMENT_(WASHINGTON_D.C.),child/Exact
Damon Runyon Cancer Research Foundation,"Damon Runyon Cancer Research Foundation (United States, New York)",41___DAMON_RUNYON_CANCER_RESEARCH_FOUNDATION_(NEW_YORK),child/Exact
National Institute of Diabetes and Digestive and Kidney Diseases,"National Institute of Diabetes and Digestive and Kidney Diseases (United States, Bethesda) - NIDDK",41___NATIONAL_INSTITUTE_OF_DIABETES_AND_DIGESTIVE_AND_KIDNEY_DISEASES_(BETHESDA),child/Exact
"Department of Atomic Energy, Government of India","Department of Atomic Energy (India, Mumbai) - DAE",41___DEPARTMENT_OF_ATOMIC_ENERGY_(MUMBAI),child/Exact
Carlsbergfondet,"Carlsberg Foundation (Denmark, Copenhagen)",41___CARLSBERG_FOUNDATION_(COPENHAGEN),child/Exact
Sanming Project of Medicine in Shenzhen,"Shenzhen Municipal People's Government (China, Shenzhen)",41___SHENZHEN_MUNICIPAL_PEOPLE'S_GOVERNMENT_(SHENZHEN),child/EdgeCase
Richard and Susan Smith Family Foundation,"Goldsmith Family Foundation (United States, Baltimore)",41___GOLDSMITH_FAMILY_FOUNDATION_(BALTIMORE),child/Exact
United States - Israel Binational Science Foundation,"United States-Israel Binational Science Foundation (Israel, Jerusalem) - BSF",41___UNITED_STATES-ISRAEL_BINATIONAL_SCIENCE_FOUNDATION_(JERUSALEM),child/Exact
Advanced Scientific Computing Research,"Advanced Scientific Computing Research (United States, Washington D.C.) - ASCR",41___ADVANCED_SCIENTIFIC_COMPUTING_RESEARCH_(WASHINGTON_D.C.),child/Exact
National Research Council,"National Academies of Sciences, Engineering, and Medicine (United States, Washington) - NRC","41___NATIONAL_ACADEMIES_OF_SCIENCES,_ENGINEERING,_AND_MEDICINE_(WASHINGTON_D.C.)",child/Exact
"Global Fund to Fight AIDS, Tuberculosis and Malaria","Global Fund to Fight AIDS, Tuberculosis and Malaria (Switzerland, Le Grand-Saconnex) - GFATM","41___GLOBAL_FUND_TO_FIGHT_AIDS,_TUBERCULOSIS_AND_MALARIA_(LE_GRAND-SACONNEX)",child/Exact
Canada Research Chairs,"Canada Research Chairs (Canada, Ottawa) - CRCs",41___CANADA_RESEARCH_CHAIRS_(OTTAWA),child/Exact
National Institute of Food and Agriculture,"National Institute of Food and Agriculture (United States, Washington) - NIFA",41___NATIONAL_INSTITUTE_OF_FOOD_AND_AGRICULTURE_(WASHINGTON_D.C.),child/Exact
