unique_funder,matched_funder,matched_funder_code,matched_object
State Key Laboratory of Software Development Environment,"State Key Laboratory of Software Development Environment (China, Beijing)",41___STATE_KEY_LABORATORY_OF_SOFTWARE_DEVELOPMENT_ENVIRONMENT_(BEIJING),child/Exact
Stephenson Cancer Center,"OU Health Stephenson Cancer Center (United States, Oklahoma City)",41___OU_HEALTH_STEPHENSON_CANCER_CENTER_(OKLAHOMA_CITY),child/HighestScore
James S. McDonnell Foundation,"James S. McDonnell Foundation (United States, St Louis) - JSMF",41___JAMES_S._MCDONNELL_FOUNDATION_(ST_LOUIS),child/Exact
Shanghai Hospital Development Center,"Shanghai Hospital Development Center (China, Shanghai)",41___SHANGHAI_HOSPITAL_DEVELOPMENT_CENTER_(SHANGHAI),child/Exact
Generalitat de Catalunya,"Government of Catalonia (Spain, Barcelona)",41___GOVERNMENT_OF_CATALONIA_(BARCELONA),child/Exact
"Division of Cancer Epidemiology and Genetics, National Cancer Institute","Division of Cancer Epidemiology and Genetics (United States, Bethesda) - DCEG",41___DIVISION_OF_CANCER_EPIDEMIOLOGY_AND_GENETICS_(BETHESDA),child/HighestScore
"Forskningsrådet om Hälsa, Arbetsliv och Välfärd","Swedish Research Council for Health Working Life and Welfare (Sweden, Stockholm) - FORTE",41___SWEDISH_RESEARCH_COUNCIL_FOR_HEALTH_WORKING_LIFE_AND_WELFARE_(STOCKHOLM),child/Exact
U.S. National Library of Medicine,"United States National Library of Medicine (United States, Bethesda) - NLM",41___UNITED_STATES_NATIONAL_LIBRARY_OF_MEDICINE_(BETHESDA),child/Exact
"Directorate for Social, Behavioral and Economic Sciences","Directorate for Social, Behavioral & Economic Sciences (United States, Arlington) - NSF SBE","41___DIRECTORATE_FOR_SOCIAL,_BEHAVIORAL_&_ECONOMIC_SCIENCES_(ARLINGTON)",child/Exact
Svenska Forskningsrådet Formas,"Swedish Research Council for Environment Agricultural Sciences and Spatial Planning (Sweden, Stockholm) - FORMAS",41___SWEDISH_RESEARCH_COUNCIL_FOR_ENVIRONMENT_AGRICULTURAL_SCIENCES_AND_SPATIAL_PLANNING_(STOCKHOLM),child/Exact
State Key Laboratory of Chemo/Biosensing and Chemometrics,"State Key Laboratory of Chemobiosensing and Chemometrics (China, Changsha)",41___STATE_KEY_LABORATORY_OF_CHEMOBIOSENSING_AND_CHEMOMETRICS_(CHANGSHA),child/Exact
Council on grants of the President of the Russian Federation,"Council for Grants of the President of the Russian Federation (Russia, Moscow)",41___COUNCIL_FOR_GRANTS_OF_THE_PRESIDENT_OF_THE_RUSSIAN_FEDERATION_(MOSCOW),child/Exact
National Institute of Standards and Technology,"National Institute of Standards and Technology (United States, Gaithersburg) - NIST",41___NATIONAL_INSTITUTE_OF_STANDARDS_AND_TECHNOLOGY_(GAITHERSBURG),child/Exact
"Division of Electrical, Communications and Cyber Systems","Division of Electrical, Communications & Cyber Systems (United States, Arlington) - NSF ECCS","41___DIVISION_OF_ELECTRICAL,_COMMUNICATIONS_&_CYBER_SYSTEMS_(ARLINGTON)",child/Exact
Magyar Tudományos Akadémia,"Hungarian Academy of Sciences (Hungary, Budapest) - MTA",41___HUNGARIAN_ACADEMY_OF_SCIENCES_(BUDAPEST),child/Exact
Chinese Academy of Medical Sciences,"Tsinghua University (China, Beijing) - THU",41___TSINGHUA_UNIVERSITY_(BEIJING),child/Exact
American Philosophical Society,"American Philosophical Society (United States, Philadelphia) - APS",41___AMERICAN_PHILOSOPHICAL_SOCIETY_(PHILADELPHIA),child/Exact
Fonds National de la Recherche Luxembourg,"Fonds National de la Recherche (Luxembourg, Luxembourg) - FNR",41___FONDS_NATIONAL_DE_LA_RECHERCHE_(LUXEMBOURG),child/Exact
"Office of Extramural Research, National Institutes of Health","Office of Extramural Research (United States, Bethesda) - OER",41___OFFICE_OF_EXTRAMURAL_RESEARCH_(BETHESDA),child/Exact
Division of Ocean Sciences,"Division of Ocean Sciences (United States, Arlington) - NSF OCE",41___DIVISION_OF_OCEAN_SCIENCES_(ARLINGTON),child/Exact
State Key Laboratory of Organic Geochemistry,"State Key Laboratory of Organic Geochemistry (China, Guangzhou)",41___STATE_KEY_LABORATORY_OF_ORGANIC_GEOCHEMISTRY_(GUANGZHOU),child/Exact
Administration for Community Living,"Administration for Community Living (United States, Washington) - ACL",41___ADMINISTRATION_FOR_COMMUNITY_LIVING_(WASHINGTON_D.C.),child/Exact
W. M. Keck Foundation,"W. M. Keck Foundation (United States, Los Angeles)",41___W._M._KECK_FOUNDATION_(LOS_ANGELES),child/Exact
College and Graduate School of Arts and Sciences,"University of Virginia (United States, Charlottesville) - UVA",41___UNIVERSITY_OF_VIRGINIA_(CHARLOTTESVILLE),child/Exact
Consejo Nacional de Investigaciones Científicas y Técnicas,"Consejo Nacional de Investigaciones Científicas y Técnicas (Argentina, Buenos Aires) - CONICET",41___NATIONAL_SCIENTIFIC_AND_TECHNICAL_RESEARCH_COUNCIL_(BUENOS_AIRES),child/Exact
Midwestern University,"Midwestern University (United States, Downers Grove) - MWU",41___MIDWESTERN_UNIVERSITY_(DOWNERS_GROVE),child/Exact
Chinese Academy of Agricultural Sciences,"Chinese Academy of Agricultural Sciences (China, Beijing) - CAAS",41___CHINESE_ACADEMY_OF_AGRICULTURAL_SCIENCES_(BEIJING),child/Exact
Swedish Cancer Foundation,"Swedish Cancer Society (Sweden, Stockholm)",41___SWEDISH_CANCER_SOCIETY_(STOCKHOLM),child/EdgeCase
"Ministerio de Economía, Fomento y Turismo, Chile","Ministry of Economy, Development and Tourism (Chile, Santiago)","41___MINISTRY_OF_ECONOMY,_DEVELOPMENT_AND_TOURISM_(SANTIAGO)",child/Exact
Lawrence Livermore National Laboratory,"Lawrence Livermore National Laboratory (United States, Livermore) - LLNL",41___LAWRENCE_LIVERMORE_NATIONAL_LABORATORY_(LIVERMORE),child/Exact
Universidad Nacional de Cuyo,"National University of Cuyo (Argentina, Mendoza)",41___NATIONAL_UNIVERSITY_OF_CUYO_(MENDOZA),child/Exact
Guangxi Key Laboratory of Automatic Detection Technology and Instrument Foundation,"Guangxi Science and Technology Department (China, Nanning)",41___GUANGXI_SCIENCE_AND_TECHNOLOGY_DEPARTMENT_(NANNING),child/EdgeCase
Facebook,"Meta (United States, Menlo Park) - FB",41___FACEBOOK_(UNITED_STATES)_(MENLO_PARK),child/EdgeCase
Ministry of Education of the People's Republic of China,"Ministry of Education of the People's Republic of China (China, Beijing) - MOE",41___MINISTRY_OF_EDUCATION_OF_THE_PEOPLE'S_REPUBLIC_OF_CHINA_(BEIJING),child/Exact
Ministero degli Affari Esteri e della Cooperazione Internazionale,"Ministero degli Affari Esteri (Italy, Rome) - MAE",41___MINISTERO_DEGLI_AFFARI_ESTERI_(ROME),child/Exact
University of Virginia,"University of Virginia (United States, Charlottesville) - UVA",41___UNIVERSITY_OF_VIRGINIA_(CHARLOTTESVILLE),child/Exact
Instituto Nacional de Ciência e Tecnologia do Café,"Instituto Nacional de Ciência e Tecnologia da Criosfera (Brazil, Porto Alegre)",41___INSTITUTO_NACIONAL_DE_CIÊNCIA_E_TECNOLOGIA_DA_CRIOSFERA_(PORTO_ALEGRE),child/HighestScore
"China Medical University, Taiwan","China Medical University (Taiwan, Taichung) - CMU",41___CHINA_MEDICAL_UNIVERSITY_(TAICHUNG),child/HighestScore
Carnegie Corporation of New York,"Carnegie Corporation of New York (United States, New York)",41___CARNEGIE_CORPORATION_OF_NEW_YORK_(NEW_YORK),child/Exact
Society of Teachers of Family Medicine,"Society of Teachers of Family Medicine (United States, Leawood) - STFM",41___SOCIETY_OF_TEACHERS_OF_FAMILY_MEDICINE_(LEAWOOD),child/Exact
Institute for New Economic Thinking,"Institute for New Economic Thinking (United States, New York) - INET",41___INSTITUTE_FOR_NEW_ECONOMIC_THINKING_(NEW_YORK),child/Exact
Common Fund,"NIH Common Fund (United States, Bethesda)",41___NIH_COMMON_FUND_(BETHESDA),child/Exact
Division of Computing and Communication Foundations,"Division of Computing and Communication Foundations (United States, Arlington) - NSF CCF",41___DIVISION_OF_COMPUTING_AND_COMMUNICATION_FOUNDATIONS_(ARLINGTON),child/Exact
Division of Undergraduate Education,"Division of Graduate Education (United States, Arlington) - NSF DGE",41___DIVISION_OF_GRADUATE_EDUCATION_(ARLINGTON),child/Exact
Hjärnfonden,"Hjärnfonden (Sweden, Stockholm)",41___HJÄRNFONDEN_(STOCKHOLM),child/Exact
Consejo Nacional de Ciencia y Tecnología,"Consejo Nacional de Humanidades, Ciencias y Tecnologías (Mexico, Mexico City) - CONACYT",41___CONSEJO_NACIONAL_DE_CIENCIA_Y_TECNOLOGÍA_(MEXICO_CITY),child/Exact
National Institute of Mental Health and Neurosciences,"National Institute of Mental Health and Neurosciences (India, Bengaluru) - NIMHANS",41___NATIONAL_INSTITUTE_OF_MENTAL_HEALTH_AND_NEUROSCIENCES_(BENGALURU),child/Exact
U.S. Naval Research Laboratory,"United States Naval Research Laboratory (United States, Washington) - NRL",41___UNITED_STATES_NAVAL_RESEARCH_LABORATORY_(WASHINGTON_D.C.),child/Exact
Northeastern University,"Northeastern University (China, Shenyang) - NEU",41___NORTHEASTERN_UNIVERSITY_(SHENYANG),child/Exact
Heising-Simons Foundation,"Heising-Simons Foundation (United States, Los Altos)",41___HEISING-SIMONS_FOUNDATION_(LOS_ALTOS),child/Exact
Agencia Estatal de Investigación,"Agencia Estatal de Investigación (Spain, Madrid) - AEI",41___AGENCIA_ESTATAL_DE_INVESTIGACIÓN_(MADRID),child/Exact
Defense Health Agency,"Defense Health Agency (United States, Falls Church) - DHA",41___DEFENSE_HEALTH_AGENCY_(FALLS_CHURCH),child/Exact
Bonfils-Stanton Foundation,"Bonfils-Stanton Foundation (United States, Denver)",41___BONFILS-STANTON_FOUNDATION_(DENVER),child/Exact
Istituto Nazionale di Fisica Nucleare Sezione di Padova,"INFN Sezione di Padova (Italy, Padova)",41___INFN_SEZIONE_DI_PADOVA_(PADOVA),child/Exact
Fonds Wetenschappelijk Onderzoek,"Research Foundation - Flanders (Belgium, Brussels) - FWO",41___RESEARCH_FOUNDATION_-_FLANDERS_(BRUSSELS),child/Exact
Integrative and Collaborative Education and Research,"Integrative Graduate Education and Research Traineeship (United States, Arlington) - NSF IGERT",41___INTEGRATIVE_GRADUATE_EDUCATION_AND_RESEARCH_TRAINEESHIP_(ARLINGTON),child/HighestScore
University of Massachusetts Boston,"University of Massachusetts Boston (United States, Boston)",41___UNIVERSITY_OF_MASSACHUSETTS_BOSTON_(BOSTON),child/Exact
Retirement Research Foundation,"RRF Foundation for Aging (United States, Chicago) - RRF",41___RETIREMENT_RESEARCH_FOUNDATION_(CHICAGO),child/Exact
American Sheep Industry Association,"American Sheep Industry Association (United States, Englewood) - ASI",41___AMERICAN_SHEEP_INDUSTRY_ASSOCIATION_(ENGLEWOOD),child/Exact
Hanyang University,"Anyang University (South Korea, Anyang-si) - AYU",41___ANYANG_UNIVERSITY_(ANYANG-SI),child/Exact
Indian Council of Medical Research,"Indian Council of Medical Research (India, New Delhi) - ICMR",41___INDIAN_COUNCIL_OF_MEDICAL_RESEARCH_(NEW_DELHI),child/Exact
Academy of Finland,"Research Council of Finland (Finland, Helsinki)",41___ACADEMY_OF_FINLAND_(HELSINKI),child/Exact
Division of Biological Infrastructure,"Division of Biological Infrastructure (United States, Arlington) - NSF DBI",41___DIVISION_OF_BIOLOGICAL_INFRASTRUCTURE_(ARLINGTON),child/Exact
Blue Cross Blue Shield of Massachusetts Foundation,"Blue Cross Blue Shield of Michigan Foundation (United States, Detroit) - BCBSM",41___BLUE_CROSS_BLUE_SHIELD_OF_MICHIGAN_FOUNDATION_(DETROIT),child/HighestScore
American Institute of Physics,"American Institute of Physics (United States, College Park) - AIP",41___AMERICAN_INSTITUTE_OF_PHYSICS_(COLLEGE_PARK),child/Exact
Division of Social and Economic Sciences,"Division of Social and Economic Sciences (United States, Arlington) - NSF SES",41___DIVISION_OF_SOCIAL_AND_ECONOMIC_SCIENCES_(ARLINGTON),child/Exact
Andrew W. Mellon Foundation,"Andrew W. Mellon Foundation (United States, New York)",41___ANDREW_W._MELLON_FOUNDATION_(NEW_YORK),child/Exact
Eusko Jaurlaritza,"Basque Government (Spain, Vitoria-Gasteiz)",41___BASQUE_GOVERNMENT_(VITORIA-GASTEIZ),child/Exact
Global Challenges Research Fund,"Department for Business, Energy and Industrial Strategy (United Kingdom, London) - BEIS","41___DEPARTMENT_FOR_BUSINESS,_ENERGY_AND_INDUSTRIAL_STRATEGY_(LONDON)",child/EdgeCase
Simon Fraser University,"Simon Fraser University (Canada, Burnaby) - SFU",41___SIMON_FRASER_UNIVERSITY_(BURNABY),child/Exact
Indo-US Science and Technology Forum,"Indo-US Science and Technology Forum (India, New Delhi) - IUSSTF",41___INDO-US_SCIENCE_AND_TECHNOLOGY_FORUM_(NEW_DELHI),child/Exact
Defense Threat Reduction Agency,"Defense Threat Reduction Agency (United States, Fort Belvoir) - DTRA",41___DEFENSE_THREAT_REDUCTION_AGENCY_(FORT_BELVOIR),child/Exact
Nemzeti Kutatási Fejlesztési és Innovációs Hivatal,"National Research, Development and Innovation Office (Hungary, Budapest) - NKFIH","41___NATIONAL_RESEARCH,_DEVELOPMENT_AND_INNOVATION_OFFICE_(BUDAPEST)",child/Exact
Basic and Applied Basic Research Foundation of Guangdong Province,"Guangdong Science and Technology Department (China, Guangzhou)",41___GUANGDONG_SCIENCE_AND_TECHNOLOGY_DEPARTMENT_(GUANGZHOU),child/EdgeCase
Natural Science Foundation of Beijing Municipality,"Beijing Municipal Government (China, Beijing)",41___BEIJING_MUNICIPAL_GOVERNMENT_(BEIJING),child/EdgeCase
"National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention","National Center for HIV/AIDS Viral Hepatitis STD and TB Prevention (United States, Atlanta) - NCHHSTP",41___NATIONAL_CENTER_FOR_HIV/AIDS_VIRAL_HEPATITIS_STD_AND_TB_PREVENTION_(ATLANTA),child/Exact
Natural Science Foundation of Zhejiang Province,"National Natural Science Foundation of China (China, Beijing) - NSFC",41___NATIONAL_NATURAL_SCIENCE_FOUNDATION_OF_CHINA_(BEIJING),child/Exact
Institute of Food Technologists,"Institute of Food Technologists (United States, Chicago) - IFT",41___INSTITUTE_OF_FOOD_TECHNOLOGISTS_(CHICAGO),child/Exact
Saudi Aramco,"Saudi Aramco (Saudi Arabia, Dhahran)",41___SAUDI_ARAMCO_(SAUDI_ARABIA)_(DHAHRAN),child/Exact
Heller School for Social Policy and Management,"Brandeis University (United States, Waltham)",41___BRANDEIS_UNIVERSITY_(WALTHAM),child/Exact
Rosalind Franklin University of Medicine and Science,"Rosalind Franklin University of Medicine and Science (United States, North Chicago) - RFUMS",41___ROSALIND_FRANKLIN_UNIVERSITY_OF_MEDICINE_AND_SCIENCE_(NORTH_CHICAGO),child/Exact
Max-Planck-Gesellschaft,"Max Planck Society (Germany, Munich) - MPG",41___MAX_PLANCK_SOCIETY_(MUNICH),child/Exact
Comisión Nacional de Investigación Científica y Tecnológica,"Agencia Nacional de Investigación y Desarrollo (Chile, Santiago) - ANID",41___AGENCIA_NACIONAL_DE_INVESTIGACIÓN_Y_DESARROLLO_(SANTIAGO),child/Exact
Science and Technology Commission of Shanghai Municipality,"Hangzhou Science and Technology Commission (China, Hangzhou)",41___HANGZHOU_SCIENCE_AND_TECHNOLOGY_COMMISSION_(HANGZHOU),child/Exact
"Ministerium für Innovation, Wissenschaft und Forschung des Landes Nordrhein-Westfalen","Ministerium für Innovation, Wissenschaft und Forschung d. Landes Nordrhein-Westfalen (Germany, Dusseldorf) - MKW NRW","41___MINISTERIUM_FÜR_INNOVATION,_WISSENSCHAFT_UND_FORSCHUNG_D._LANDES_NORDRHEIN-WESTFALEN_(DUSSELDORF)",child/Exact
Division of Emerging Frontiers,"Emerging Frontiers Office (United States, Arlington) - NSF EF",41___EMERGING_FRONTIERS_OFFICE_(ARLINGTON),child/Exact
Life Sciences Research Foundation,"Life Sciences Research Foundation (United States, Baltimore) - LSRF",41___LIFE_SCIENCES_RESEARCH_FOUNDATION_(BALTIMORE),child/Exact
"University of California, San Francisco","University of California, San Francisco (United States, San Francisco) - UCSF","41___UNIVERSITY_OF_CALIFORNIA,_SAN_FRANCISCO_(SAN_FRANCISCO)",child/Exact
"University of Maryland, Baltimore","University of Maryland, Baltimore (United States, Baltimore) - UMAB","41___UNIVERSITY_OF_MARYLAND,_BALTIMORE_(BALTIMORE)",child/Exact
Instituto Nazionale di Fisica Nucleare,"Istituto Nazionale di Fisica Nucleare (Italy, Rome) - INFN",41___NATIONAL_INSTITUTE_FOR_NUCLEAR_PHYSICS_(ROME),child/Exact
"Bundesministerium für Bildung, Wissenschaft, Forschung und Technologie","Federal Ministry of Education and Research (Germany, Bonn) - BMBF",41___FEDERAL_MINISTRY_OF_EDUCATION_AND_RESEARCH_(BONN),child/HighestScore
Central University Basic Research Fund of China,"Ministry of Education of the People's Republic of China (China, Beijing) - MOE",41___MINISTRY_OF_EDUCATION_OF_THE_PEOPLE'S_REPUBLIC_OF_CHINA_(BEIJING),child/EdgeCase
Agència de Gestió d'Ajuts Universitaris i de Recerca,"Agència de Gestió d'Ajuts Universitaris i de Recerca (Spain, Barcelona) - AGAUR",41___AGENCY_FOR_ADMINISTRATION_OF_UNIVERSITY_AND_RESEARCH_(BARCELONA),child/Exact
National Heart Foundation of New Zealand,"National Heart Foundation of New Zealand (New Zealand, Auckland)",41___NATIONAL_HEART_FOUNDATION_OF_NEW_ZEALAND_(AUCKLAND),child/Exact
Wenner-Gren Foundation,"Wenner-Gren Foundation (United States, New York)",41___WENNER-GREN_FOUNDATION_(NEW_YORK),child/Exact
European Space Agency,"European Space Agency (France, Paris) - ESA",41___EUROPEAN_SPACE_AGENCY_(PARIS),child/Exact
The Wellcome Trust DBT India Alliance,"Wellcome Trust/DBT India Alliance (India, New Delhi)",41___WELLCOME_TRUST/DBT_INDIA_ALLIANCE_(NEW_DELHI),child/Exact
National Institute for Health and Care Research,"National Institute for Health Research (United Kingdom, London) - NIHR",41___NATIONAL_INSTITUTE_FOR_HEALTH_RESEARCH_(LONDON),child/Exact
Compagnia di San Paolo,"Compagnia di San Paolo (Italy, Turin)",41___COMPAGNIA_DI_SAN_PAOLO_(TURIN),child/Exact
Ministry of Culture and Sport,"Ministry of Agriculture and Rural Development (Israel, Bet Dagan)",41___MINISTRY_OF_AGRICULTURE_AND_RURAL_DEVELOPMENT_(BET_DAGAN),child/HighestScore
Iran University of Medical Sciences,"Aja University of Medical Sciences (Iran, Tehran)",41___AJA_UNIVERSITY_OF_MEDICAL_SCIENCES_(TEHRAN),child/Exact
Army Research Laboratory,"DEVCOM Army Research Laboratory (United States, Adelphi) - ARL",41___UNITED_STATES_ARMY_RESEARCH_LABORATORY_(ADELPHI),child/Exact
David and Lucile Packard Foundation,"David and Lucile Packard Foundation (United States, Los Altos)",41___DAVID_AND_LUCILE_PACKARD_FOUNDATION_(LOS_ALTOS),child/Exact
Fetzer Institute,"Fetzer Institute (United States, Kalamazoo)",41___FETZER_INSTITUTE_(KALAMAZOO),child/Exact
Russian Foundation for Basic Research,"Russian Foundation for Basic Research (Russia, Moscow) - RFBR",41___RUSSIAN_FOUNDATION_FOR_BASIC_RESEARCH_(MOSCOW),child/Exact
"Ministry of Higher Education, Science, Research and Innovation, Thailand","Thailand Science Research and Innovation (Thailand, Bangkok) - TSRI",41___THAILAND_SCIENCE_RESEARCH_AND_INNOVATION_(BANGKOK),child/HighestScore
Natural Science Foundation of Hebei Province,"National Natural Science Foundation of China (China, Beijing) - NSFC",41___NATIONAL_NATURAL_SCIENCE_FOUNDATION_OF_CHINA_(BEIJING),child/Exact
Explorers Club,"Explorers Club (United States, New York)",41___EXPLORERS_CLUB_(NEW_YORK),child/Exact
China Medical University Hospital,"China Medical University Hospital (Taiwan, Taichung) - CMUH ",41___CHINA_MEDICAL_UNIVERSITY_HOSPITAL_(TAICHUNG),child/Exact
Ford Foundation,"Ford Foundation (United States, New York)",41___FORD_FOUNDATION_(NEW_YORK),child/Exact
Ministry of Education,"Ministry of Education (South Korea, Sejong) - MOE",41___MINISTRY_OF_EDUCATION_(SEJONG),child/Exact
National Drug Abuse Treatment Clinical Trials Network,"Clinical Trial Network (United States, Houston) - CTN",41___CLINICAL_TRIAL_NETWORK_(HOUSTON),child/EdgeCase
"Albert Einstein College of Medicine, Yeshiva University","Albert Einstein College of Medicine (United States, Bronx) - AECOM",41___ALBERT_EINSTEIN_COLLEGE_OF_MEDICINE_(THE_BRONX),child/Exact
National Youth Science Foundation,"National Youth Science Foundation (United States, Charleston) - NYSF",41___NATIONAL_YOUTH_SCIENCE_FOUNDATION_(CHARLESTON),child/Exact
"Division of Intramural Research, National Institute of Allergy and Infectious Diseases","National Institute of Allergy and Infectious Diseases (United States, Bethesda) - NIAID",41___NATIONAL_INSTITUTE_OF_ALLERGY_AND_INFECTIOUS_DISEASES_(BETHESDA),child/Exact
Blazeman Foundation for ALS,"Blazeman Foundation for ALS (United States, Barrington)",41___BLAZEMAN_FOUNDATION_FOR_ALS_(BARRINGTON),child/Exact
Narodowym Centrum Nauki,"National Science Center (Poland, Krakow) - NCN",41___NATIONAL_SCIENCE_CENTER_(KRAKOW),child/Exact
Sleep Research Society Foundation,"Sleep Research Society (United States, Darien) - SRS",41___SLEEP_RESEARCH_SOCIETY_(DARIEN),child/HighestScore
Conrad N. Hilton Foundation,"Conrad N. Hilton Foundation (United States, Agoura Hills)",41___CONRAD_N._HILTON_FOUNDATION_(AGOURA_HILLS),child/Exact
Tempus Közalapítvány,"Tempus Public Foundation (Hungary, Budapest) - TPF",41___TEMPUS_PUBLIC_FOUNDATION_(BUDAPEST),child/Exact
Enhancing Learning and Research for Humanitarian Assistance,"Elrha (United Kingdom, Cardiff)",41___ELRHA_(CARDIFF),child/Exact
"Division of Civil, Mechanical and Manufacturing Innovation","Division of Civil, Mechanical & Manufacturing Innovation (United States, Arlington) - NSF CMMI","41___DIVISION_OF_CIVIL,_MECHANICAL_&_MANUFACTURING_INNOVATION_(ARLINGTON)",child/Exact
Fermilab,"Fermi National Accelerator Laboratory (United States, Batavia)",41___FERMILAB_(BATAVIA),child/Exact
Laboratory Directed Research and Development,"Los Alamos National Laboratory (United States, Los Alamos) - LANL",41___LOS_ALAMOS_NATIONAL_LABORATORY_(LOS_ALAMOS),child/Exact
Center for Substance Abuse Treatment,"Substance Abuse and Mental Health Services Administration (United States, Rockville) - SAMHSA",41___SUBSTANCE_ABUSE_AND_MENTAL_HEALTH_SERVICES_ADMINISTRATION_(ROCKVILLE),child/Exact
Institut de Ciències del Cosmos,"Institut de Ciències del Cosmos (Spain, Barcelona) - ICCUB",41___INSTITUT_DE_CIÈNCIES_DEL_COSMOS_(BARCELONA),child/Exact
Asia-Pacific Network for Global Change Research,"Asia-Pacific Network for Global Change Research (Japan, Kobe) - APN",41___ASIA-PACIFIC_NETWORK_FOR_GLOBAL_CHANGE_RESEARCH_(KOBE),child/Exact
Chicago Community Trust,"Chicago Community Trust (United States, Chicago) - CCT",41___CHICAGO_COMMUNITY_TRUST_(CHICAGO),child/Exact
Institute of Education Sciences,"Institute of Education Sciences (United States, Washington D.C.) - IES",41___INSTITUTE_OF_EDUCATION_SCIENCES_(WASHINGTON_D.C.),child/Exact
Institut National Du Cancer,"French National Cancer Institute (France, Boulogne-Billancourt) - INCA",41___FRENCH_NATIONAL_CANCER_INSTITUTE_(BOULOGNE-BILLANCOURT),child/Exact
Science and Technology Department of Zhejiang Province,"Fujian Provincial Department of Science and Technology (China, Fuzhou)",41___FUJIAN_PROVINCIAL_DEPARTMENT_OF_SCIENCE_AND_TECHNOLOGY_(FUZHOU),child/Exact
Postdoctoral Research Foundation of China,"China Postdoctoral Science Foundation (China, Beijing)",41___CHINA_POSTDOCTORAL_SCIENCE_FOUNDATION_(BEIJING),child/HighestScore
University of Edinburgh,"University of Edinburgh (United Kingdom, Edinburgh)",41___UNIVERSITY_OF_EDINBURGH_(EDINBURGH),child/Exact
United Nations Development Programme,"United Nations Development Programme (United States, New York) - UNDP",41___UNITED_NATIONS_DEVELOPMENT_PROGRAMME_(NEW_YORK),child/Exact
University of Oxford,"University of Oxford (United Kingdom, Oxford)",41___UNIVERSITY_OF_OXFORD_(OXFORD),child/Exact
Center for Substance Abuse Prevention,"Substance Abuse and Mental Health Services Administration (United States, Rockville) - SAMHSA",41___SUBSTANCE_ABUSE_AND_MENTAL_HEALTH_SERVICES_ADMINISTRATION_(ROCKVILLE),child/Exact
New Energy and Industrial Technology Development Organization,"New Energy and Industrial Technology Development Organization (Japan, Kawasaki) - NEDO",41___NEW_ENERGY_AND_INDUSTRIAL_TECHNOLOGY_DEVELOPMENT_ORGANIZATION_(KAWASAKI),child/Exact
Cancéropôle Ile de France,"Cancéropôle Île-de-France (France, Paris)",41___CANCÉROPÔLE_ÎLE-DE-FRANCE_(PARIS),child/Exact
UK Space Agency,"United Kingdom Space Agency (United Kingdom, Swindon) - UKSA",41___UNITED_KINGDOM_SPACE_AGENCY_(SWINDON),child/Exact
California Department of Fish and Game,"California Department of Fish and Wildlife (United States, Sacramento) - CDFG",41___CALIFORNIA_DEPARTMENT_OF_FISH_AND_WILDLIFE_(SACRAMENTO),child/Exact
ALS Association,"Amyotrophic Lateral Sclerosis Association (United States, Washington D.C.) - ALS",41___AMYOTROPHIC_LATERAL_SCLEROSIS_ASSOCIATION_(WASHINGTON_D.C.),child/Exact
